"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Perl", "TypeScript", "Markdown", "Groovy", "YAML", "comment", "blank", "total"
"d:\ttlab\qr-code-backend\src\modules\category\category.module.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\ttlab\qr-code-backend\src\modules\category\category.repository.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\ttlab\qr-code-backend\src\modules\category\dto\request\category.request.dto.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 10, 46
"d:\ttlab\qr-code-backend\src\modules\category\dto\response\category.response.dto.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 6, 28
"d:\ttlab\qr-code-backend\src\modules\category\entity\category.entity.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"d:\ttlab\qr-code-backend\src\modules\category\services\category.service.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"d:\ttlab\qr-code-backend\src\modules\file\dto\request\file.request.dto.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"d:\ttlab\qr-code-backend\src\modules\file\dto\response\file.response.dto.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"d:\ttlab\qr-code-backend\src\modules\file\entity\file.entity.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"d:\ttlab\qr-code-backend\src\modules\file\file.builder.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
